params, s-x1, s-y1, s-x2, s-y2, m-page-num, m-x1, m-y1, m-x2, m-y2
科目名, 31.860000610351562, 44.56060791015625, 139.86000061035156, 53.56060791015625, 1, 31.860000610351562, 44.56060791015625, 112.86000061035156, 53.56060791015625
担当者, 31.860000610351562, 80.02056884765625, 76.86000061035156, 89.02056884765625, 1, 31.860000610351562, 80.02056884765625, 76.86000061035156, 89.02056884765625
期別, 341.82000732421875, 50.68060302734375, 359.82000732421875, 59.68060302734375, 1, 341.82000732421875, 50.68060302734375, 359.82000732421875, 59.68060302734375
曜日・時限, 458.46002197265625, 50.68060302734375, 476.46002197265625, 59.68060302734375, 1, 458.46002197265625, 50.68060302734375, 476.46002197265625, 59.68060302734375
単位, 557.280029296875, 50.68060302734375, 561.780029296875, 59.68060302734375, 1, 557.280029296875, 50.68060302734375, 561.780029296875, 59.68060302734375
ねらい, 31.860000610351562, 137.43499755859375, 301.8600158691406, 182.9805908203125, 1, 31.860000610351562, 129.70062255859375, 306.3600158691406, 182.9805908203125
授業計画, 47.160003662109375, 308.97216796875, 250.6321563720703, 530.1921997070312, 1, 47.160003662109375, 308.97216796875, 421.019989013671, 742.9522094726562
テキスト・参考文献・資料など, 49.68000030517578, 554.860595703125, 499.6800231933594, 608.140625, 2, 49.68000030517578, 38.9805908203125, 229.6800079345703, 56.80059814453125
